Month,Value
2022-01,0.0
2022-02,3.0
2022-03,2.0
2022-04,4.0
2022-05,10.0
2022-06,27.0
2022-07,6.0
2022-08,2.0
2022-09,2.0
2022-10,2.0
2022-11,4.0
2022-12,0.0
2023-01,18.0
2023-02,13.0
2023-03,3.0
2023-04,0.0
2023-05,3.0
2023-06,4.0
2023-07,2.0
2023-08,0.0
2023-09,3.0
2023-10,3.0
2023-11,2.0
2023-12,3.0
2024-01,15.0
2024-02,5.0
2024-03,82.0
2024-04,4.0
2024-05,3.0
2024-06,0.0
2024-07,0.0
2024-08,5.0
2024-09,0.0
2024-10,0.0
2024-11,2.0
2024-12,3.0
2025-01,83.0
2025-02,17.0
2025-03,11.0
2025-04,4.0
2025-05,3.0
2025-06,3.0
2025-07,3.0
2025-08,4.0
2025-09,0.0
2025-10,0.0
2025-11,0.0
2025-12,7.0
2026-01,63.0
2026-02,4.0
2026-03,5.0
2026-04,3.0
