Month,Value
2022-01,97.0
2022-02,0.0
2022-03,56.0
2022-04,80.0
2022-05,65.0
2022-06,63.0
2022-07,53.0
2022-08,42.0
2022-09,70.0
2022-10,49.0
2022-11,69.0
2022-12,52.0
2023-01,61.0
2023-02,42.0
2023-03,69.0
2023-04,82.0
2023-05,81.0
2023-06,63.0
2023-07,60.0
2023-08,70.0
2023-09,78.0
2023-10,63.0
2023-11,43.0
2023-12,58.0
2024-01,76.0
2024-02,45.0
2024-03,51.0
2024-04,58.0
2024-05,62.0
2024-06,0.0
2024-07,36.0
2024-08,51.0
2024-09,38.0
2024-10,0.0
2024-11,52.0
2024-12,83.0
2025-01,0.0
2025-02,0.0
2025-03,54.0
2025-04,67.0
2025-05,67.0
2025-06,0.0
2025-07,0.0
2025-08,59.0
2025-09,0.0
2025-10,0.0
2025-11,0.0
2025-12,0.0
2026-01,47.0
2026-02,0.0
2026-03,0.0
2026-04,3.0
