Month,Value
2004-01,0.0
2004-02,0.0
2004-03,0.0
2004-04,0.0
2004-05,0.0
2004-06,0.0
2004-07,0.0
2004-08,0.0
2004-09,0.0
2004-10,0.0
2004-11,0.0
2004-12,0.0
2005-01,0.0
2005-02,0.0
2005-03,0.0
2005-04,0.0
2005-05,0.0
2005-06,0.0
2005-07,0.0
2005-08,0.0
2005-09,0.0
2005-10,0.0
2005-11,0.0
2005-12,0.0
2006-01,0.0
2006-02,0.0
2006-03,0.0
2006-04,0.0
2006-05,0.0
2006-06,0.0
2006-07,0.0
2006-08,0.0
2006-09,0.0
2006-10,0.0
2006-11,0.0
2006-12,0.0
2007-01,0.0
2007-02,0.0
2007-03,0.0
2007-04,0.0
2007-05,0.0
2007-06,0.0
2007-07,0.0
2007-08,0.0
2007-09,0.0
2007-10,0.0
2007-11,0.0
2007-12,0.0
2008-01,0.0
2008-02,0.0
2008-03,0.0
2008-04,0.0
2008-05,0.0
2008-06,0.0
2008-07,0.0
2008-08,0.0
2008-09,0.0
2008-10,0.0
2008-11,0.0
2008-12,0.0
2009-01,0.0
2009-02,0.0
2009-03,0.0
2009-04,0.0
2009-05,0.0
2009-06,0.0
2009-07,0.0
2009-08,0.0
2009-09,0.0
2009-10,0.0
2009-11,0.0
2009-12,0.0
2010-01,0.0
2010-02,0.0
2010-03,0.0
2010-04,0.0
2010-05,0.0
2010-06,0.0
2010-07,0.0
2010-08,0.0
2010-09,0.0
2010-10,0.0
2010-11,0.0
2010-12,0.0
2011-01,0.0
2011-02,0.0
2011-03,0.0
2011-04,0.0
2011-05,0.0
2011-06,0.0
2011-07,0.0
2011-08,0.0
2011-09,0.0
2011-10,0.0
2011-11,0.0
2011-12,0.0
2012-01,0.0
2012-02,0.0
2012-03,0.0
2012-04,0.0
2012-05,0.0
2012-06,0.0
2012-07,0.0
2012-08,0.0
2012-09,0.0
2012-10,0.0
2012-11,0.0
2012-12,0.0
2013-01,0.0
2013-02,0.0
2013-03,0.0
2013-04,1.0
2013-05,0.0
2013-06,0.0
2013-07,0.0
2013-08,0.0
2013-09,0.0
2013-10,0.0
2013-11,0.0
2013-12,0.0
2014-01,0.0
2014-02,0.0
2014-03,0.0
2014-04,0.0
2014-05,0.0
2014-06,0.0
2014-07,0.0
2014-08,0.0
2014-09,0.0
2014-10,0.0
2014-11,0.0
2014-12,0.0
2015-01,0.0
2015-02,0.0
2015-03,0.0
2015-04,1.0
2015-05,0.0
2015-06,1.0
2015-07,1.0
2015-08,0.0
2015-09,0.0
2015-10,0.0
2015-11,0.0
2015-12,1.0
2016-01,0.0
2016-02,1.0
2016-03,0.0
2016-04,1.0
2016-05,1.0
2016-06,1.0
2016-07,4.0
2016-08,6.0
2016-09,6.0
2016-10,9.0
2016-11,8.0
2016-12,9.0
2017-01,10.0
2017-02,10.0
2017-03,11.0
2017-04,10.0
2017-05,11.0
2017-06,11.0
2017-07,10.0
2017-08,10.0
2017-09,11.0
2017-10,12.0
2017-11,13.0
2017-12,12.0
2018-01,12.0
2018-02,13.0
2018-03,15.0
2018-04,14.0
2018-05,13.0
2018-06,13.0
2018-07,13.0
2018-08,12.0
2018-09,9.0
2018-10,12.0
2018-11,12.0
2018-12,11.0
2019-01,12.0
2019-02,14.0
2019-03,13.0
2019-04,16.0
2019-05,17.0
2019-06,14.0
2019-07,16.0
2019-08,17.0
2019-09,14.0
2019-10,15.0
2019-11,14.0
2019-12,14.0
2020-01,14.0
2020-02,15.0
2020-03,20.0
2020-04,35.0
2020-05,47.0
2020-06,45.0
2020-07,46.0
2020-08,41.0
2020-09,49.0
2020-10,42.0
2020-11,43.0
2020-12,36.0
2021-01,32.0
2021-02,29.0
2021-03,30.0
2021-04,28.0
2021-05,27.0
2021-06,24.0
2021-07,25.0
2021-08,27.0
2021-09,36.0
2021-10,100.0
2021-11,30.0
2021-12,29.0
2022-01,31.0
2022-02,35.0
2022-03,35.0
2022-04,37.0
2022-05,34.0
2022-06,30.0
2022-07,28.0
2022-08,26.0
2022-09,24.0
2022-10,23.0
2022-11,23.0
2022-12,24.0
2023-01,23.0
2023-02,24.0
2023-03,24.0
2023-04,25.0
2023-05,25.0
2023-06,27.0
2023-07,24.0
2023-08,23.0
2023-09,23.0
2023-10,23.0
2023-11,22.0
2023-12,19.0
2024-01,20.0
2024-02,15.0
2024-03,16.0
2024-04,17.0
2024-05,17.0
2024-06,16.0
2024-07,17.0
2024-08,18.0
2024-09,16.0
2024-10,16.0
2024-11,18.0
2024-12,28.0
2025-01,13.0
2025-02,13.0
2025-03,13.0
2025-04,12.0
2025-05,15.0
2025-06,12.0
2025-07,11.0
2025-08,11.0
2025-09,11.0
2025-10,11.0
2025-11,10.0
2025-12,14.0
2026-01,19.0
2026-02,11.0
2026-03,9.0
2026-04,9.0
2026-05,10.0
2026-06,11.0
