Month,Value
2014-01,0.0
2014-02,0.0
2014-03,100.0
2014-04,0.0
2014-05,0.0
2014-06,0.0
2014-07,0.0
2014-08,0.0
2014-09,0.0
2014-10,0.0
2014-11,0.0
2014-12,0.0
2015-01,0.0
2015-02,0.0
2015-03,0.0
2015-04,0.0
2015-05,0.0
2015-06,0.0
2015-07,52.0
2015-08,72.0
2015-09,47.0
2015-10,45.0
2015-11,55.0
2015-12,79.0
2016-01,34.0
2016-02,39.0
2016-03,43.0
2016-04,58.0
2016-05,64.0
2016-06,68.0
2016-07,78.0
2016-08,57.0
2016-09,53.0
2016-10,42.0
2016-11,0.0
2016-12,41.0
2017-01,81.0
2017-02,96.0
2017-03,60.0
2017-04,77.0
2017-05,46.0
2017-06,43.0
2017-07,95.0
2017-08,54.0
2017-09,54.0
2017-10,89.0
2017-11,53.0
2017-12,54.0
2018-01,74.0
2018-02,49.0
2018-03,56.0
2018-04,57.0
2018-05,61.0
2018-06,43.0
2018-07,56.0
2018-08,77.0
2018-09,54.0
2018-10,75.0
2018-11,48.0
2018-12,0.0
2019-01,58.0
2019-02,82.0
2019-03,65.0
2019-04,78.0
2019-05,59.0
2019-06,48.0
2019-07,51.0
2019-08,60.0
2019-09,34.0
2019-10,60.0
2019-11,37.0
2019-12,68.0
2020-01,34.0
2020-02,49.0
2020-03,55.0
2020-04,58.0
2020-05,90.0
2020-06,92.0
2020-07,63.0
2020-08,57.0
2020-09,61.0
2020-10,0.0
2020-11,49.0
2020-12,0.0
2021-01,73.0
2021-02,69.0
2021-03,48.0
2021-04,66.0
2021-05,81.0
2021-06,71.0
2021-07,84.0
2021-08,79.0
2021-09,75.0
2021-10,51.0
2021-11,50.0
2021-12,67.0
2022-01,74.0
2022-02,80.0
2022-03,62.0
2022-04,74.0
2022-05,34.0
2022-06,63.0
2022-07,70.0
2022-08,59.0
2022-09,40.0
2022-10,45.0
2022-11,55.0
2022-12,36.0
2023-01,38.0
2023-02,29.0
2023-03,40.0
2023-04,30.0
2023-05,53.0
2023-06,29.0
2023-07,0.0
2023-08,31.0
2023-09,0.0
2023-10,34.0
2023-11,39.0
2023-12,38.0
2024-01,43.0
2024-02,33.0
2024-03,30.0
2024-04,0.0
2024-05,42.0
2024-06,39.0
2024-07,0.0
2024-08,25.0
2024-09,0.0
2024-10,0.0
2024-11,0.0
2024-12,0.0
2025-01,46.0
2025-02,0.0
2025-03,0.0
2025-04,0.0
2025-05,0.0
2025-06,0.0
2025-07,0.0
2025-08,0.0
2025-09,34.0
2025-10,0.0
2025-11,0.0
2025-12,0.0
2026-01,0.0
2026-02,0.0
2026-03,0.0
2026-04,0.0
2026-05,0.0
2026-06,0.0
2026-07,4.0
