Month,Value
2004-01,0.0
2004-02,0.0
2004-03,0.0
2004-04,0.0
2004-05,0.0
2004-06,0.0
2004-07,0.0
2004-08,0.0
2004-09,0.0
2004-10,0.0
2004-11,0.0
2004-12,0.0
2005-01,0.0
2005-02,0.0
2005-03,0.0
2005-04,0.0
2005-05,0.0
2005-06,22.0
2005-07,0.0
2005-08,0.0
2005-09,0.0
2005-10,0.0
2005-11,0.0
2005-12,0.0
2006-01,0.0
2006-02,0.0
2006-03,0.0
2006-04,0.0
2006-05,0.0
2006-06,0.0
2006-07,0.0
2006-08,0.0
2006-09,0.0
2006-10,0.0
2006-11,0.0
2006-12,12.0
2007-01,0.0
2007-02,11.0
2007-03,0.0
2007-04,0.0
2007-05,8.0
2007-06,8.0
2007-07,9.0
2007-08,8.0
2007-09,0.0
2007-10,9.0
2007-11,8.0
2007-12,6.0
2008-01,8.0
2008-02,11.0
2008-03,8.0
2008-04,8.0
2008-05,8.0
2008-06,7.0
2008-07,8.0
2008-08,14.0
2008-09,11.0
2008-10,9.0
2008-11,11.0
2008-12,7.0
2009-01,11.0
2009-02,11.0
2009-03,14.0
2009-04,15.0
2009-05,19.0
2009-06,20.0
2009-07,22.0
2009-08,20.0
2009-09,23.0
2009-10,25.0
2009-11,26.0
2009-12,20.0
2010-01,27.0
2010-02,29.0
2010-03,31.0
2010-04,30.0
2010-05,33.0
2010-06,30.0
2010-07,29.0
2010-08,26.0
2010-09,28.0
2010-10,25.0
2010-11,30.0
2010-12,24.0
2011-01,22.0
2011-02,23.0
2011-03,23.0
2011-04,24.0
2011-05,27.0
2011-06,29.0
2011-07,25.0
2011-08,24.0
2011-09,25.0
2011-10,25.0
2011-11,28.0
2011-12,24.0
2012-01,27.0
2012-02,30.0
2012-03,31.0
2012-04,32.0
2012-05,34.0
2012-06,37.0
2012-07,30.0
2012-08,33.0
2012-09,33.0
2012-10,33.0
2012-11,30.0
2012-12,28.0
2013-01,31.0
2013-02,30.0
2013-03,28.0
2013-04,26.0
2013-05,30.0
2013-06,35.0
2013-07,32.0
2013-08,29.0
2013-09,28.0
2013-10,32.0
2013-11,30.0
2013-12,23.0
2014-01,25.0
2014-02,30.0
2014-03,34.0
2014-04,32.0
2014-05,34.0
2014-06,34.0
2014-07,37.0
2014-08,35.0
2014-09,38.0
2014-10,35.0
2014-11,39.0
2014-12,34.0
2015-01,44.0
2015-02,39.0
2015-03,38.0
2015-04,41.0
2015-05,49.0
2015-06,46.0
2015-07,54.0
2015-08,51.0
2015-09,62.0
2015-10,59.0
2015-11,70.0
2015-12,54.0
2016-01,47.0
2016-02,59.0
2016-03,59.0
2016-04,61.0
2016-05,69.0
2016-06,72.0
2016-07,77.0
2016-08,66.0
2016-09,71.0
2016-10,55.0
2016-11,51.0
2016-12,54.0
2017-01,71.0
2017-02,77.0
2017-03,79.0
2017-04,72.0
2017-05,73.0
2017-06,82.0
2017-07,85.0
2017-08,81.0
2017-09,93.0
2017-10,84.0
2017-11,86.0
2017-12,71.0
2018-01,91.0
2018-02,75.0
2018-03,70.0
2018-04,75.0
2018-05,75.0
2018-06,71.0
2018-07,67.0
2018-08,71.0
2018-09,70.0
2018-10,73.0
2018-11,60.0
2018-12,56.0
2019-01,66.0
2019-02,67.0
2019-03,68.0
2019-04,64.0
2019-05,64.0
2019-06,62.0
2019-07,59.0
2019-08,55.0
2019-09,53.0
2019-10,52.0
2019-11,51.0
2019-12,43.0
2020-01,55.0
2020-02,51.0
2020-03,53.0
2020-04,84.0
2020-05,100.0
2020-06,96.0
2020-07,72.0
2020-08,65.0
2020-09,66.0
2020-10,60.0
2020-11,60.0
2020-12,60.0
2021-01,90.0
2021-02,79.0
2021-03,72.0
2021-04,80.0
2021-05,91.0
2021-06,86.0
2021-07,78.0
2021-08,77.0
2021-09,82.0
2021-10,80.0
2021-11,70.0
2021-12,59.0
2022-01,91.0
2022-02,77.0
2022-03,68.0
2022-04,73.0
2022-05,66.0
2022-06,69.0
2022-07,63.0
2022-08,64.0
2022-09,54.0
2022-10,49.0
2022-11,49.0
2022-12,43.0
2023-01,53.0
2023-02,51.0
2023-03,45.0
2023-04,41.0
2023-05,44.0
2023-06,46.0
2023-07,41.0
2023-08,37.0
2023-09,38.0
2023-10,33.0
2023-11,35.0
2023-12,29.0
2024-01,37.0
2024-02,33.0
2024-03,29.0
2024-04,27.0
2024-05,28.0
2024-06,28.0
2024-07,30.0
2024-08,28.0
2024-09,28.0
2024-10,25.0
2024-11,23.0
2024-12,19.0
2025-01,30.0
2025-02,35.0
2025-03,28.0
2025-04,23.0
2025-05,21.0
2025-06,23.0
2025-07,22.0
2025-08,24.0
2025-09,20.0
2025-10,20.0
2025-11,17.0
2025-12,15.0
2026-01,21.0
2026-02,19.0
2026-03,17.0
2026-04,14.0
2026-05,16.0
2026-06,21.0
