Month,Value
2022-01,75.0
2022-02,67.0
2022-03,66.0
2022-04,74.0
2022-05,72.0
2022-06,73.0
2022-07,60.0
2022-08,60.0
2022-09,45.0
2022-10,56.0
2022-11,60.0
2022-12,58.0
2023-01,60.0
2023-02,66.0
2023-03,61.0
2023-04,54.0
2023-05,50.0
2023-06,56.0
2023-07,57.0
2023-08,57.0
2023-09,57.0
2023-10,46.0
2023-11,55.0
2023-12,47.0
2024-01,56.0
2024-02,51.0
2024-03,38.0
2024-04,45.0
2024-05,32.0
2024-06,50.0
2024-07,40.0
2024-08,36.0
2024-09,42.0
2024-10,40.0
2024-11,35.0
2024-12,35.0
2025-01,35.0
2025-02,31.0
2025-03,37.0
2025-04,31.0
2025-05,32.0
2025-06,26.0
2025-07,36.0
2025-08,31.0
2025-09,31.0
2025-10,37.0
2025-11,30.0
2025-12,31.0
2026-01,27.0
2026-02,31.0
2026-03,30.0
2026-04,25.0
