Month,Value
2014-01,78.0
2014-02,89.0
2014-03,65.0
2014-04,79.0
2014-05,75.0
2014-06,75.0
2014-07,73.0
2014-08,67.0
2014-09,89.0
2014-10,58.0
2014-11,56.0
2014-12,71.0
2015-01,54.0
2015-02,67.0
2015-03,51.0
2015-04,57.0
2015-05,44.0
2015-06,47.0
2015-07,60.0
2015-08,54.0
2015-09,57.0
2015-10,52.0
2015-11,56.0
2015-12,69.0
2016-01,56.0
2016-02,59.0
2016-03,43.0
2016-04,69.0
2016-05,65.0
2016-06,57.0
2016-07,64.0
2016-08,43.0
2016-09,66.0
2016-10,48.0
2016-11,28.0
2016-12,54.0
2017-01,75.0
2017-02,73.0
2017-03,45.0
2017-04,68.0
2017-05,82.0
2017-06,46.0
2017-07,49.0
2017-08,59.0
2017-09,53.0
2017-10,77.0
2017-11,100.0
2017-12,60.0
2018-01,71.0
2018-02,75.0
2018-03,44.0
2018-04,57.0
2018-05,50.0
2018-06,79.0
2018-07,70.0
2018-08,65.0
2018-09,61.0
2018-10,72.0
2018-11,67.0
2018-12,62.0
2019-01,46.0
2019-02,49.0
2019-03,45.0
2019-04,58.0
2019-05,51.0
2019-06,53.0
2019-07,44.0
2019-08,22.0
2019-09,35.0
2019-10,50.0
2019-11,71.0
2019-12,35.0
2020-01,51.0
2020-02,35.0
2020-03,27.0
2020-04,36.0
2020-05,35.0
2020-06,46.0
2020-07,37.0
2020-08,33.0
2020-09,38.0
2020-10,39.0
2020-11,57.0
2020-12,39.0
2021-01,28.0
2021-02,39.0
2021-03,25.0
2021-04,35.0
2021-05,57.0
2021-06,41.0
2021-07,38.0
2021-08,32.0
2021-09,40.0
2021-10,45.0
2021-11,49.0
2021-12,41.0
2022-01,60.0
2022-02,39.0
2022-03,57.0
2022-04,93.0
2022-05,81.0
2022-06,69.0
2022-07,69.0
2022-08,45.0
2022-09,19.0
2022-10,64.0
2022-11,36.0
2022-12,41.0
2023-01,58.0
2023-02,34.0
2023-03,46.0
2023-04,33.0
2023-05,45.0
2023-06,64.0
2023-07,58.0
2023-08,32.0
2023-09,30.0
2023-10,41.0
2023-11,33.0
2023-12,26.0
2024-01,42.0
2024-02,46.0
2024-03,36.0
2024-04,39.0
2024-05,39.0
2024-06,0.0
2024-07,31.0
2024-08,0.0
2024-09,0.0
2024-10,28.0
2024-11,0.0
2024-12,31.0
2025-01,0.0
2025-02,24.0
2025-03,26.0
2025-04,0.0
2025-05,0.0
2025-06,25.0
2025-07,0.0
2025-08,0.0
2025-09,0.0
2025-10,0.0
2025-11,0.0
2025-12,28.0
2026-01,0.0
2026-02,22.0
2026-03,29.0
2026-04,0.0
2026-05,22.0
2026-06,0.0
2026-07,4.0
