Month,Value
2014-01,45.0
2014-02,39.0
2014-03,0.0
2014-04,60.0
2014-05,39.0
2014-06,0.0
2014-07,53.0
2014-08,48.0
2014-09,0.0
2014-10,29.0
2014-11,55.0
2014-12,0.0
2015-01,0.0
2015-02,0.0
2015-03,40.0
2015-04,39.0
2015-05,76.0
2015-06,51.0
2015-07,47.0
2015-08,61.0
2015-09,44.0
2015-10,41.0
2015-11,60.0
2015-12,41.0
2016-01,70.0
2016-02,42.0
2016-03,48.0
2016-04,66.0
2016-05,70.0
2016-06,63.0
2016-07,44.0
2016-08,52.0
2016-09,37.0
2016-10,0.0
2016-11,36.0
2016-12,38.0
2017-01,73.0
2017-02,60.0
2017-03,100.0
2017-04,78.0
2017-05,83.0
2017-06,61.0
2017-07,45.0
2017-08,38.0
2017-09,70.0
2017-10,0.0
2017-11,78.0
2017-12,64.0
2018-01,51.0
2018-02,0.0
2018-03,0.0
2018-04,0.0
2018-05,46.0
2018-06,48.0
2018-07,72.0
2018-08,48.0
2018-09,41.0
2018-10,69.0
2018-11,72.0
2018-12,0.0
2019-01,37.0
2019-02,60.0
2019-03,57.0
2019-04,0.0
2019-05,43.0
2019-06,0.0
2019-07,47.0
2019-08,40.0
2019-09,33.0
2019-10,44.0
2019-11,0.0
2019-12,0.0
2020-01,43.0
2020-02,0.0
2020-03,0.0
2020-04,0.0
2020-05,48.0
2020-06,0.0
2020-07,39.0
2020-08,52.0
2020-09,0.0
2020-10,0.0
2020-11,42.0
2020-12,0.0
2021-01,33.0
2021-02,35.0
2021-03,0.0
2021-04,0.0
2021-05,0.0
2021-06,0.0
2021-07,0.0
2021-08,0.0
2021-09,0.0
2021-10,0.0
2021-11,51.0
2021-12,0.0
2022-01,0.0
2022-02,0.0
2022-03,0.0
2022-04,0.0
2022-05,0.0
2022-06,30.0
2022-07,0.0
2022-08,0.0
2022-09,0.0
2022-10,0.0
2022-11,0.0
2022-12,0.0
2023-01,0.0
2023-02,0.0
2023-03,30.0
2023-04,0.0
2023-05,33.0
2023-06,0.0
2023-07,0.0
2023-08,0.0
2023-09,0.0
2023-10,0.0
2023-11,0.0
2023-12,0.0
2024-01,0.0
2024-02,33.0
2024-03,0.0
2024-04,0.0
2024-05,0.0
2024-06,0.0
2024-07,0.0
2024-08,0.0
2024-09,0.0
2024-10,0.0
2024-11,0.0
2024-12,0.0
2025-01,0.0
2025-02,0.0
2025-03,0.0
2025-04,0.0
2025-05,0.0
2025-06,0.0
2025-07,0.0
2025-08,0.0
2025-09,0.0
2025-10,0.0
2025-11,0.0
2025-12,0.0
2026-01,0.0
2026-02,0.0
2026-03,0.0
2026-04,0.0
2026-05,0.0
2026-06,0.0
