Month,Value
2022-01,81.0
2022-02,52.0
2022-03,38.0
2022-04,28.0
2022-05,24.0
2022-06,25.0
2022-07,23.0
2022-08,26.0
2022-09,26.0
2022-10,23.0
2022-11,25.0
2022-12,26.0
2023-01,25.0
2023-02,35.0
2023-03,23.0
2023-04,16.0
2023-05,23.0
2023-06,26.0
2023-07,25.0
2023-08,28.0
2023-09,32.0
2023-10,28.0
2023-11,30.0
2023-12,25.0
2024-01,28.0
2024-02,37.0
2024-03,27.0
2024-04,27.0
2024-05,33.0
2024-06,29.0
2024-07,31.0
2024-08,31.0
2024-09,36.0
2024-10,29.0
2024-11,40.0
2024-12,39.0
2025-01,35.0
2025-02,33.0
2025-03,30.0
2025-04,27.0
2025-05,29.0
2025-06,33.0
2025-07,33.0
2025-08,29.0
2025-09,29.0
2025-10,30.0
2025-11,48.0
2025-12,36.0
2026-01,30.0
2026-02,31.0
2026-03,28.0
2026-04,28.0
