Case_ID,Scope,Tier,Case_Type,Members,Status,Method,Reason,Signal_Contributors_N,Required_Contributors_N,Post_SA_Status,Post_SA_Pre_Max
FP014,TH,T1,keyword,FP014,OK,X13,,1,1,OK,87.9797865389
FP019,TH,T1,keyword,FP019,OK,X13,,1,1,OK,89.7506315764
FP038,TH,T1,keyword,FP038,OK,X13,,1,1,OK,90.7374537172
FU014,TH,T1,keyword,FU014,OK,X13,,1,1,OK,96.4483263812
FU015,TH,T1,keyword,FU015,OK,X13,,1,1,OK,92.2137433967
FU018,TH,T1,keyword,FU018,OK,X13,,1,1,OK,94.3052494000
TU068,TH,T1,keyword,TU068,OK,X13,,1,1,OK,97.8799754719
FP109,TH,T1,keyword,FP109,OK,X13,,1,1,OK,85.8304336532
FP118,TH,T1,keyword,FP118,OK,X13,,1,1,OK,94.2807521359
FP301,TH,T1,keyword,FP301,OK,X13,,1,1,OK,97.5827856733
FP306,TH,T1,keyword,FP306,OK,X13,,1,1,OK,96.5956272648
FP317,TH,T1,keyword,FP317,OK,X13,,1,1,OK,80.5699109514
FP321,TH,T1,keyword,FP321,OK,X13,,1,1,OK,89.8942909605
FP331,TH,T1,keyword,FP331,OK,X13,,1,1,OK,90.0161024786
FU064,TH,T1,keyword,FU064,OK,X13,,1,1,OK,98.0519900971
FU078,TH,T1,keyword,FU078,OK,X13,,1,1,OK,97.7715671304
FPF03,TH,T2,family_member,FP023;FP026;FP108,OK,X13,,3,3,OK,90.2574913387
TPF02,TH,T2,family_member,TP010;TP041,OK,X13,,2,2,OK,98.5157228561
TUF01,TH,T2,family_member,TU067;TU069;TU070;TU071,OK,X13,,4,4,OK,94.0115362921
TUF02,TH,T2,family_member,TU005;TU048;TU062,OK,X13,,3,3,OK,88.5254702015
NPF01,TH,T2,family_member,NP023;NP024;NP025;NP044,OK,X13,,4,4,OK,89.9183319972
FPF05,TH,T2,family_member,FP111;FP112;FP135;FP153;FP159;FP176,OK,X13,,6,6,OK,88.0329816833
FPF08,TH,T2,family_member,FP136;FP169,OK,X13,,2,2,OK,72.6076673576
FPF09,TH,T2,family_member,FP302;FP318;FP333;FP334,OK,X13,,4,4,OK,83.9362342367
NP061,TH,T1,keyword,NP061,OK,X13,,1,1,OK,100.5690732550
FP510,TH,T1,keyword,FP510,OK,X13,,1,1,OK,99.1131779079
FP607,TH,T1,keyword,FP607,OK,X13,,1,1,OK,92.7345076466
NP081,TH,T1,keyword,NP081,OK,X13,,1,1,OK,94.6025167934
FP511,TH,T1,keyword,FP511,OK,X13,,1,1,OK,93.7098530091
FP512,TH,T1,keyword,FP512,OK,X13,,1,1,OK,95.7767235228
FP014,REG_ISAN5,T1,keyword,FP014,OK,X13,,5,5,OK,85.8392904904
FP019,REG_ISAN5,T1,keyword,FP019,OK,X13,,5,5,OK,83.4364339849
FP038,REG_ISAN5,T1,keyword,FP038,OK,X13,,5,5,OK,91.9544280634
FU014,REG_ISAN5,T1,keyword,FU014,OK,X13,,5,5,OK,94.4154212816
FU015,REG_ISAN5,T1,keyword,FU015,OK,X13,,5,5,OK,100.2307099572
FU018,REG_ISAN5,T1,keyword,FU018,OK,X13,,5,5,OK,95.2073945904
TU068,REG_ISAN5,T1,keyword,TU068,OK,X13,,5,5,OK,93.8274970528
FP109,REG_ISAN5,T1,keyword,FP109,OK,X13,,5,5,OK,81.9032975454
FP118,REG_ISAN5,T1,keyword,FP118,OK,X13,,5,5,OK,84.9302200286
FP301,REG_ISAN5,T1,keyword,FP301,OK,X13,,5,5,OK,96.2915518373
FP306,REG_ISAN5,T1,keyword,FP306,OK,X13,,5,5,OK,95.2029945648
FP317,REG_ISAN5,T1,keyword,FP317,OK,X13,,5,5,OK,99.0667948394
FP321,REG_ISAN5,T1,keyword,FP321,OK,X13,,5,5,OK,91.6252958515
FP331,REG_ISAN5,T1,keyword,FP331,OK,X13,,5,5,OK,105.0829468534
FU064,REG_ISAN5,T1,keyword,FU064,OK,X13,,5,5,OK,98.5694524061
FU078,REG_ISAN5,T1,keyword,FU078,OK,X13,,5,5,OK,99.0503936712
FPF03,REG_ISAN5,T2,family_member,FP023;FP026;FP108,OK,X13,,10,15,OK,97.4111868474
TPF02,REG_ISAN5,T2,family_member,TP010;TP041,OK,X13,,6,10,OK,102.3656410180
TUF01,REG_ISAN5,T2,family_member,TU067;TU069;TU070;TU071,OK,X13,,19,20,OK,98.9884269835
TUF02,REG_ISAN5,T2,family_member,TU005;TU048;TU062,OK,X13,,10,15,OK,96.5798169906
NPF01,REG_ISAN5,T2,family_member,NP023;NP024;NP025;NP044,OK,X13,,12,20,OK,94.9016098499
FPF05,REG_ISAN5,T2,family_member,FP111;FP112;FP135;FP153;FP159;FP176,OK,X13,,19,30,OK,78.0220951816
FPF08,REG_ISAN5,T2,family_member,FP136;FP169,OK,X13,,8,10,OK,58.5787821488
FPF09,REG_ISAN5,T2,family_member,FP302;FP318;FP333;FP334,OK,X13,,20,20,OK,81.0034735111
NP061,REG_ISAN5,T1,keyword,NP061,OK,X13,,5,5,OK,101.2325824199
FP510,REG_ISAN5,T1,keyword,FP510,FALLBACK,STL_FALLBACK,X13SeriesError: X-13 failed (exit 0): ERROR: Estimation failed to converge for automatically identified model,5,5,OK,99.6385851145
FP607,REG_ISAN5,T1,keyword,FP607,OK,X13,,5,5,OK,94.4089776838
NP081,REG_ISAN5,T1,keyword,NP081,OK,X13,,5,5,OK,94.0933940749
FP511,REG_ISAN5,T1,keyword,FP511,OK,X13,,5,5,OK,85.0667243847
FP512,REG_ISAN5,T1,keyword,FP512,OK,X13,,5,5,OK,95.1771565129
