Case_ID,Scope,Execution_Status,Diagnostic_Status,Quality_Status,Geo_Support_N,Geo_Support_Total,Coverage_Status,MA3_Endpoint_Provisional
FP014,TH,SUCCESS,ACCEPTED,PASS,1,1,FULL,TRUE
FP019,TH,SUCCESS,ACCEPTED,PASS,1,1,FULL,TRUE
FP038,TH,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FU014,TH,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FU015,TH,SUCCESS,ACCEPTED,PASS,1,1,FULL,TRUE
FU018,TH,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
TU068,TH,SUCCESS,CONDITIONALLY REJECTED,REVIEW,1,1,FULL,TRUE
FP109,TH,SUCCESS,ACCEPTED,PASS,1,1,FULL,TRUE
FP118,TH,SUCCESS,ACCEPTED,PASS,1,1,FULL,TRUE
FP301,TH,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP306,TH,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP317,TH,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP321,TH,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP331,TH,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FU064,TH,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FU078,TH,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FPF03,TH,SUCCESS,ACCEPTED,PASS,1,1,FULL,TRUE
TPF02,TH,SUCCESS,CONDITIONALLY ACCEPTED,REVIEW,1,1,FULL,TRUE
TUF01,TH,SUCCESS,CONDITIONALLY REJECTED,REVIEW,1,1,FULL,TRUE
TUF02,TH,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
NPF01,TH,SUCCESS,CONDITIONALLY ACCEPTED,REVIEW,1,1,FULL,TRUE
FPF05,TH,SUCCESS,ACCEPTED,PASS,1,1,FULL,TRUE
FPF08,TH,SUCCESS,ACCEPTED,PASS,1,1,FULL,TRUE
FPF09,TH,SUCCESS,CONDITIONALLY REJECTED,REVIEW,1,1,FULL,TRUE
NP061,TH,SUCCESS,CONDITIONALLY ACCEPTED,REVIEW,1,1,FULL,TRUE
FP510,TH,SUCCESS,ACCEPTED,PASS,1,1,FULL,TRUE
FP607,TH,SUCCESS,ACCEPTED,PASS,1,1,FULL,TRUE
NP081,TH,SUCCESS,CONDITIONALLY REJECTED,REVIEW,1,1,FULL,TRUE
FP511,TH,SUCCESS,CONDITIONALLY ACCEPTED,REVIEW,1,1,FULL,TRUE
FP512,TH,SUCCESS,CONDITIONALLY ACCEPTED,REVIEW,1,1,FULL,TRUE
TP129,TH,SUCCESS,CONDITIONALLY ACCEPTED,REVIEW,1,1,FULL,TRUE
FP014,REG_ISAN5,SUCCESS,ACCEPTED,PASS,5,5,FULL,TRUE
FP019,REG_ISAN5,SUCCESS,ACCEPTED,PASS,5,5,FULL,TRUE
FP038,REG_ISAN5,SUCCESS,REJECTED,REVIEW,5,5,FULL,TRUE
FU014,REG_ISAN5,SUCCESS,REJECTED,REVIEW,5,5,FULL,TRUE
