Case_ID,Scope,Tier,Stage,Member_ID,Geo,Status,Pre_Max,Contributors_N,Required_N
FP014,TH,T1,A_MEMBER_GEO,FP014,TH,OK,61.0000000000,1,1
FP014,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FP014,TH,T1,D_POST_SA,,TH,OK,87.9797865389,1,1
FP019,TH,T1,A_MEMBER_GEO,FP019,TH,OK,58.0000000000,1,1
FP019,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FP019,TH,T1,D_POST_SA,,TH,OK,89.7506315764,1,1
FP038,TH,T1,A_MEMBER_GEO,FP038,TH,OK,100.0000000000,1,1
FP038,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FP038,TH,T1,D_POST_SA,,TH,OK,90.7374537172,1,1
FU014,TH,T1,A_MEMBER_GEO,FU014,TH,OK,100.0000000000,1,1
FU014,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FU014,TH,T1,D_POST_SA,,TH,OK,96.4483263812,1,1
FU015,TH,T1,A_MEMBER_GEO,FU015,TH,OK,100.0000000000,1,1
FU015,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FU015,TH,T1,D_POST_SA,,TH,OK,92.2137433967,1,1
FU018,TH,T1,A_MEMBER_GEO,FU018,TH,OK,100.0000000000,1,1
FU018,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FU018,TH,T1,D_POST_SA,,TH,OK,94.3052494000,1,1
TU068,TH,T1,A_MEMBER_GEO,TU068,TH,OK,100.0000000000,1,1
TU068,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
TU068,TH,T1,D_POST_SA,,TH,OK,97.8799754719,1,1
FP109,TH,T1,A_MEMBER_GEO,FP109,TH,OK,95.0000000000,1,1
FP109,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FP109,TH,T1,D_POST_SA,,TH,OK,85.8304336532,1,1
FP118,TH,T1,A_MEMBER_GEO,FP118,TH,OK,96.0000000000,1,1
FP118,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FP118,TH,T1,D_POST_SA,,TH,OK,94.2807521359,1,1
FP301,TH,T1,A_MEMBER_GEO,FP301,TH,OK,92.0000000000,1,1
FP301,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FP301,TH,T1,D_POST_SA,,TH,OK,97.5827856733,1,1
FP306,TH,T1,A_MEMBER_GEO,FP306,TH,OK,100.0000000000,1,1
FP306,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FP306,TH,T1,D_POST_SA,,TH,OK,96.5956272648,1,1
FP317,TH,T1,A_MEMBER_GEO,FP317,TH,OK,100.0000000000,1,1
FP317,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FP317,TH,T1,D_POST_SA,,TH,OK,80.5699109514,1,1
FP321,TH,T1,A_MEMBER_GEO,FP321,TH,OK,44.0000000000,1,1
FP321,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FP321,TH,T1,D_POST_SA,,TH,OK,89.8942909605,1,1
FP331,TH,T1,A_MEMBER_GEO,FP331,TH,OK,51.0000000000,1,1
FP331,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FP331,TH,T1,D_POST_SA,,TH,OK,90.0161024786,1,1
FU064,TH,T1,A_MEMBER_GEO,FU064,TH,OK,100.0000000000,1,1
FU064,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FU064,TH,T1,D_POST_SA,,TH,OK,98.0519900971,1,1
FU078,TH,T1,A_MEMBER_GEO,FU078,TH,OK,100.0000000000,1,1
FU078,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FU078,TH,T1,D_POST_SA,,TH,OK,97.7715671304,1,1
FPF03,TH,T2,A_MEMBER_GEO,FP023,TH,OK,48.0000000000,1,1
FPF03,TH,T2,A_MEMBER_GEO,FP026,TH,OK,100.0000000000,1,1
FPF03,TH,T2,A_MEMBER_GEO,FP108,TH,OK,100.0000000000,1,1
FPF03,TH,T2,B_FAMILY_GEO,,TH,OK,83.3611111111,3,3
FPF03,TH,T2,C_SCOPE,,TH,OK,100.0000000000,1,1
FPF03,TH,T2,D_POST_SA,,TH,OK,90.2574913387,1,1
TPF02,TH,T2,A_MEMBER_GEO,TP010,TH,OK,100.0000000000,1,1
TPF02,TH,T2,A_MEMBER_GEO,TP041,TH,OK,100.0000000000,1,1
TPF02,TH,T2,B_FAMILY_GEO,,TH,OK,90.5000000000,2,2
TPF02,TH,T2,C_SCOPE,,TH,OK,100.0000000000,1,1
TPF02,TH,T2,D_POST_SA,,TH,OK,98.5157228561,1,1
TUF01,TH,T2,A_MEMBER_GEO,TU067,TH,OK,81.0000000000,1,1
TUF01,TH,T2,A_MEMBER_GEO,TU069,TH,OK,100.0000000000,1,1
TUF01,TH,T2,A_MEMBER_GEO,TU070,TH,OK,53.0000000000,1,1
TUF01,TH,T2,A_MEMBER_GEO,TU071,TH,OK,100.0000000000,1,1
TUF01,TH,T2,B_FAMILY_GEO,,TH,OK,65.3796296296,4,4
TUF01,TH,T2,C_SCOPE,,TH,OK,100.0000000000,1,1
TUF01,TH,T2,D_POST_SA,,TH,OK,94.0115362921,1,1
TUF02,TH,T2,A_MEMBER_GEO,TU005,TH,OK,100.0000000000,1,1
TUF02,TH,T2,A_MEMBER_GEO,TU048,TH,OK,100.0000000000,1,1
TUF02,TH,T2,A_MEMBER_GEO,TU062,TH,OK,100.0000000000,1,1
TUF02,TH,T2,B_FAMILY_GEO,,TH,OK,92.6666666667,3,3
TUF02,TH,T2,C_SCOPE,,TH,OK,100.0000000000,1,1
TUF02,TH,T2,D_POST_SA,,TH,OK,88.5254702015,1,1
NPF01,TH,T2,A_MEMBER_GEO,NP023,TH,OK,100.0000000000,1,1
NPF01,TH,T2,A_MEMBER_GEO,NP024,TH,OK,100.0000000000,1,1
NPF01,TH,T2,A_MEMBER_GEO,NP025,TH,OK,100.0000000000,1,1
NPF01,TH,T2,A_MEMBER_GEO,NP044,TH,OK,100.0000000000,1,1
NPF01,TH,T2,B_FAMILY_GEO,,TH,OK,73.2500000000,4,4
NPF01,TH,T2,C_SCOPE,,TH,OK,100.0000000000,1,1
NPF01,TH,T2,D_POST_SA,,TH,OK,89.9183319972,1,1
FPF05,TH,T2,A_MEMBER_GEO,FP111,TH,OK,83.0000000000,1,1
FPF05,TH,T2,A_MEMBER_GEO,FP112,TH,OK,86.0000000000,1,1
FPF05,TH,T2,A_MEMBER_GEO,FP135,TH,OK,36.0000000000,1,1
FPF05,TH,T2,A_MEMBER_GEO,FP153,TH,OK,69.0000000000,1,1
FPF05,TH,T2,A_MEMBER_GEO,FP159,TH,OK,71.0000000000,1,1
