Month,Scope,Case_ID,Tier,Case_Type,Segment,Factor,Case_Name_TH,Input_Rebased,SA,SA_Floored,SA_Rebased,MA3_Centered
2011-01,TH,FP014,T1,keyword,Formal,Pull,สมัครงาน,85.2459016393,81.9134546335,81.9134546335,93.1048572132,92.2922300712
2011-02,TH,FP014,T1,keyword,Formal,Pull,สมัครงาน,81.9672131148,80.4835593837,80.4835593837,91.4796029292,91.9087732844
2011-03,TH,FP014,T1,keyword,Formal,Pull,สมัครงาน,88.5245901639,80.1864136211,80.1864136211,91.1418597107,89.4485427875
2011-04,TH,FP014,T1,keyword,Formal,Pull,สมัครงาน,81.9672131148,75.4199380149,75.4199380149,85.7241657225,91.4497923355
2011-05,TH,FP014,T1,keyword,Formal,Pull,สมัครงาน,100.0000000000,85.7656446251,85.7656446251,97.4833515733,90.8480245550
2011-06,TH,FP014,T1,keyword,Formal,Pull,สมัครงาน,85.2459016393,78.5981115947,78.5981115947,89.3365563691,89.0416739782
2011-07,TH,FP014,T1,keyword,Formal,Pull,สมัครงาน,70.4918032787,70.6522678700,70.6522678700,80.3051139921,84.6045023150
2011-08,TH,FP014,T1,keyword,Formal,Pull,สมัครงาน,70.4918032787,74.0542021522,74.0542021522,84.1718365837,84.6141180894
2011-09,TH,FP014,T1,keyword,Formal,Pull,สมัครงาน,73.7704918033,78.6234914082,78.6234914082,89.3654036924,89.1159886800
2011-10,TH,FP014,T1,keyword,Formal,Pull,สมัครงาน,73.7704918033,82.5344762776,82.5344762776,93.8107257638,91.1599923869
2011-11,TH,FP014,T1,keyword,Formal,Pull,สมัครงาน,72.1311475410,79.4491324468,79.4491324468,90.3038477044,91.6030621827
2011-12,TH,FP014,T1,keyword,Formal,Pull,สมัครงาน,63.9344262295,79.7929269898,79.7929269898,90.6946130798,88.7948415607
2012-01,TH,FP014,T1,keyword,Formal,Pull,สมัครงาน,78.6885245902,75.1224767515,75.1224767515,85.3860638980,90.5393816001
2012-02,TH,FP014,T1,keyword,Formal,Pull,สมัครงาน,85.2459016393,84.0536602550,84.0536602550,95.5374678226,91.5491817991
2012-03,TH,FP014,T1,keyword,Formal,Pull,สมัครงาน,90.1639344262,82.4581871683,82.4581871683,93.7240136765,89.2896378129
2012-04,TH,FP014,T1,keyword,Formal,Pull,สมัครงาน,75.4098360656,69.1586508240,69.1586508240,78.6074319394,81.7176402213
2012-05,TH,FP014,T1,keyword,Formal,Pull,สมัครงาน,78.6885245902,64.0681783017,64.0681783017,72.8214750480,75.7280523487
2012-06,TH,FP014,T1,keyword,Formal,Pull,สมัครงาน,73.7704918033,66.6493072936,66.6493072936,75.7552500586,75.0007938910
2012-07,TH,FP014,T1,keyword,Formal,Pull,สมัครงาน,67.2131147541,67.2391295080,67.2391295080,76.4256565663,76.1203777520
2012-08,TH,FP014,T1,keyword,Formal,Pull,สมัครงาน,63.9344262295,67.0232007748,67.0232007748,76.1802266310,76.2125067628
2012-09,TH,FP014,T1,keyword,Formal,Pull,สมัครงาน,62.2950819672,66.8924720148,66.8924720148,76.0316370912,75.8240273041
2012-10,TH,FP014,T1,keyword,Formal,Pull,สมัครงาน,57.3770491803,66.2137793125,66.2137793125,75.2602181902,76.8769309057
2012-11,TH,FP014,T1,keyword,Formal,Pull,สมัครงาน,62.2950819672,69.8022277981,69.8022277981,79.3389374356,78.7976489984
2012-12,TH,FP014,T1,keyword,Formal,Pull,สมัครงาน,55.7377049180,71.9620030488,71.9620030488,81.7937913694,80.2448292827
2013-01,TH,FP014,T1,keyword,Formal,Pull,สมัครงาน,73.7704918033,70.0334576872,70.0334576872,79.6017590430,81.4575791647
2013-02,TH,FP014,T1,keyword,Formal,Pull,สมัครงาน,73.7704918033,73.0031520705,73.0031520705,82.9771870817,85.3199941407
2013-03,TH,FP014,T1,keyword,Formal,Pull,สมัครงาน,88.5245901639,82.1564364023,82.1564364023,93.3810362974,88.1979804881
2013-04,TH,FP014,T1,keyword,Formal,Pull,สมัครงาน,83.6065573770,77.6295964225,77.6295964225,88.2357180853,87.0669436653
2013-05,TH,FP014,T1,keyword,Formal,Pull,สมัครงาน,85.2459016393,70.0179007233,70.0179007233,79.5840766133,82.6961983571
2013-06,TH,FP014,T1,keyword,Formal,Pull,สมัครงาน,78.6885245902,70.6203192253,70.6203192253,80.2688003728,80.5363250858
2013-07,TH,FP014,T1,keyword,Formal,Pull,สมัครงาน,72.1311475410,71.9288407415,71.9288407415,81.7560982712,81.5151027777
2013-08,TH,FP014,T1,keyword,Formal,Pull,สมัครงาน,70.4918032787,72.6012802955,72.6012802955,82.5204096891,81.8222167583
2013-09,TH,FP014,T1,keyword,Formal,Pull,สมัครงาน,67.2131147541,71.4309138990,71.4309138990,81.1901423146,82.2652312949
2013-10,TH,FP014,T1,keyword,Formal,Pull,สมัครงาน,63.9344262295,73.0981304724,73.0981304724,83.0851418810,81.9468226264
2013-11,TH,FP014,T1,keyword,Formal,Pull,สมัครงาน,63.9344262295,71.7608744951,71.7608744951,81.5651836838,82.3961780119
2013-12,TH,FP014,T1,keyword,Formal,Pull,สมัครงาน,55.7377049180,72.6169396257,72.6169396257,82.5382084709,82.3478548519
