Case_ID,Scope,Method,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,Q_Without_M2,Q_With_M2,F_Stable_B1,F_Stable_B1_PValue,F_Stable_D8,F_Stable_D8_PValue,F_Moving_D8,F_Moving_D8_PValue,Kruskal_Wallis_Chi,Kruskal_Wallis_PValue,Accept_Status
FP014,TH,X13,0.5430000000,0.3860000000,0.5850000000,0.2250000000,0.6970000000,0.2110000000,0.4310000000,0.7090000000,0.3290000000,0.5450000000,0.5330000000,0.4700000000,,27.9860000000,0.0000000000,40.5460000000,0.0000000000,2.6950000000,0.0015000000,136.1490000000,0.0000000000,ACCEPTED
FP019,TH,X13,0.3790000000,0.2170000000,0.4450000000,0.2930000000,0.6190000000,0.1680000000,0.4270000000,0.6640000000,0.2720000000,0.5870000000,0.5710000000,0.4300000000,,34.6890000000,0.0000000000,50.2140000000,0.0000000000,3.7660000000,0.0000000000,140.9370000000,0.0000000000,ACCEPTED
FP038,TH,X13,2.3710000000,1.8770000000,0.5620000000,2.3220000000,3.0000000000,0.2430000000,1.2800000000,1.5650000000,0.7080000000,0.8020000000,0.7310000000,1.4400000000,,2.1580000000,0.0191000000,3.1000000000,0.0008000000,1.0510000000,0.4066000000,51.9310000000,0.0000000000,REJECTED
FU014,TH,X13,1.7810000000,0.3850000000,0.2920000000,0.4280000000,0.7920000000,0.1510000000,2.5430000000,2.3000000000,0.1550000000,3.0000000000,3.0000000000,1.3600000000,,1.2950000000,0.2316000000,1.7780000000,0.0610000000,12.0490000000,0.0000000000,26.6790000000,0.0051000000,REJECTED
FU015,TH,X13,1.2160000000,0.4640000000,0.8730000000,0.2930000000,0.9310000000,0.3780000000,0.5470000000,0.9560000000,0.2370000000,0.9300000000,0.7140000000,0.7000000000,,18.2100000000,0.0000000000,23.8070000000,0.0000000000,2.4210000000,0.0043000000,109.3740000000,0.0000000000,ACCEPTED
FU018,TH,X13,1.4510000000,0.2260000000,0.2380000000,0.8340000000,0.8530000000,0.1860000000,2.4720000000,1.7940000000,0.2810000000,2.6270000000,2.5480000000,1.2900000000,,1.4590000000,0.1517000000,2.1720000000,0.0179000000,12.0170000000,0.0000000000,54.9610000000,0.0000000000,REJECTED
TU068,TH,X13,2.5000000000,0.6610000000,0.8560000000,0.4510000000,0.8960000000,0.4440000000,1.1700000000,1.2440000000,0.5460000000,1.3270000000,1.1270000000,1.0700000000,,5.4630000000,0.0000000000,6.4190000000,0.0000000000,3.5250000000,0.0001000000,88.5550000000,0.0000000000,CONDITIONALLY REJECTED
FP109,TH,X13,0.3940000000,0.3190000000,0.5600000000,0.5640000000,0.6820000000,0.3220000000,0.4190000000,0.7700000000,0.3930000000,0.7870000000,0.7430000000,0.5200000000,,30.6410000000,0.0000000000,43.0900000000,0.0000000000,2.7020000000,0.0014000000,134.0680000000,0.0000000000,ACCEPTED
FP118,TH,X13,0.3090000000,0.2440000000,0.3430000000,0.4960000000,0.6450000000,0.4360000000,0.4180000000,1.0440000000,0.4130000000,1.0240000000,0.9690000000,0.5500000000,,28.8050000000,0.0000000000,40.7500000000,0.0000000000,2.4130000000,0.0044000000,131.4110000000,0.0000000000,ACCEPTED
FP301,TH,X13,2.2350000000,0.2430000000,0.6850000000,0.0450000000,0.7520000000,0.1890000000,2.3560000000,1.5250000000,1.1180000000,0.5740000000,0.5200000000,1.3100000000,,2.2460000000,0.0144000000,3.3340000000,0.0003000000,14.9480000000,0.0000000000,35.6330000000,0.0002000000,REJECTED
FP306,TH,X13,2.5310000000,1.1520000000,0.2010000000,1.1050000000,2.1160000000,0.4130000000,2.9160000000,3.0000000000,0.3610000000,3.0000000000,2.9600000000,1.8400000000,,0.7120000000,0.7260000000,0.8750000000,0.5661000000,4.2110000000,0.0000000000,17.1640000000,0.1031000000,REJECTED
FP317,TH,X13,1.6540000000,1.1410000000,1.7430000000,0.5860000000,3.0000000000,0.3880000000,1.5230000000,2.0490000000,0.9570000000,1.4430000000,1.1930000000,1.6500000000,,2.7150000000,0.0031000000,2.7200000000,0.0029000000,1.8710000000,0.0335000000,43.0960000000,0.0000000000,REJECTED
FP321,TH,X13,2.4520000000,1.6920000000,0.5880000000,1.9160000000,3.0000000000,0.2230000000,1.2590000000,1.5050000000,0.9010000000,0.7980000000,0.7320000000,1.4200000000,,2.3020000000,0.0120000000,3.4340000000,0.0002000000,1.2970000000,0.2152000000,47.1540000000,0.0000000000,REJECTED
FP331,TH,X13,2.0770000000,0.9010000000,0.5230000000,0.1580000000,3.0000000000,0.4090000000,2.7630000000,2.7860000000,1.2390000000,1.3220000000,1.2150000000,1.8800000000,,0.6400000000,0.7923000000,1.1160000000,0.3510000000,7.0320000000,0.0000000000,15.5340000000,0.1593000000,REJECTED
FU064,TH,X13,1.5070000000,0.1500000000,0.1400000000,0.9020000000,0.5190000000,0.0680000000,2.3340000000,2.2110000000,0.3510000000,2.7690000000,2.4300000000,1.2500000000,,1.0670000000,0.3909000000,1.4170000000,0.1689000000,2.8110000000,0.0009000000,28.9690000000,0.0023000000,REJECTED
FU078,TH,X13,1.7140000000,0.1580000000,0.1850000000,0.4280000000,0.5440000000,0.1210000000,2.2380000000,2.1080000000,0.3490000000,2.9110000000,2.8440000000,1.2400000000,,1.1980000000,0.2920000000,1.5910000000,0.1048000000,2.9780000000,0.0005000000,37.8750000000,0.0001000000,REJECTED
FPF03,TH,X13,0.5200000000,0.2480000000,0.4010000000,0.9020000000,0.5690000000,0.3980000000,0.4950000000,0.8270000000,0.3760000000,0.8400000000,0.8210000000,0.5700000000,,33.8900000000,0.0000000000,46.7840000000,0.0000000000,5.3160000000,0.0000000000,147.5850000000,0.0000000000,ACCEPTED
TPF02,TH,X13,2.2050000000,0.1850000000,0.4740000000,0.3610000000,0.6880000000,0.3640000000,1.0660000000,1.4570000000,0.5360000000,1.7280000000,1.5620000000,0.9800000000,,4.4340000000,0.0000000000,6.6410000000,0.0000000000,2.7020000000,0.0014000000,48.3360000000,0.0000000000,CONDITIONALLY ACCEPTED
TUF01,TH,X13,1.7380000000,0.7520000000,0.8320000000,0.3610000000,0.9650000000,0.0250000000,1.1900000000,1.5880000000,0.8620000000,2.0990000000,1.8380000000,1.0500000000,,4.6470000000,0.0000000000,5.9870000000,0.0000000000,3.3140000000,0.0001000000,56.7410000000,0.0000000000,CONDITIONALLY REJECTED
TUF02,TH,X13,1.5060000000,0.4840000000,0.7620000000,0.6310000000,0.8060000000,0.2720000000,2.2190000000,1.6090000000,1.0030000000,2.8950000000,2.7200000000,1.3500000000,,3.6200000000,0.0001000000,4.1340000000,0.0000000000,11.2340000000,0.0000000000,32.1740000000,0.0007000000,REJECTED
NPF01,TH,X13,1.5210000000,0.1540000000,0.4430000000,0.0230000000,0.6390000000,0.0230000000,1.7960000000,1.4060000000,0.6250000000,1.4500000000,1.0610000000,0.9400000000,,3.5180000000,0.0002000000,4.6640000000,0.0000000000,7.6990000000,0.0000000000,65.1090000000,0.0000000000,CONDITIONALLY ACCEPTED
FPF05,TH,X13,0.7850000000,0.4140000000,0.4640000000,1.4430000000,0.6570000000,0.2050000000,0.6590000000,0.9080000000,0.5150000000,0.6630000000,0.6010000000,0.6800000000,,16.5090000000,0.0000000000,23.1580000000,0.0000000000,4.3620000000,0.0000000000,114.7010000000,0.0000000000,ACCEPTED
FPF08,TH,X13,0.2390000000,0.1970000000,0.4640000000,1.3750000000,0.8110000000,0.3220000000,0.4300000000,0.5060000000,0.3510000000,0.6770000000,0.6590000000,0.5500000000,,50.4000000000,0.0000000000,63.7990000000,0.0000000000,5.5240000000,0.0000000000,148.8390000000,0.0000000000,ACCEPTED
FPF09,TH,X13,0.9020000000,0.7200000000,0.9650000000,0.8340000000,3.0000000000,0.3060000000,0.6200000000,1.0260000000,0.5940000000,0.7910000000,0.7420000000,1.0100000000,,17.2250000000,0.0000000000,18.2760000000,0.0000000000,2.3540000000,0.0056000000,114.7500000000,0.0000000000,CONDITIONALLY REJECTED
NP061,TH,X13,1.4830000000,0.2330000000,0.3900000000,1.0370000000,0.8370000000,0.0440000000,1.0670000000,1.3910000000,0.5830000000,2.1780000000,2.0920000000,0.9800000000,,5.9690000000,0.0000000000,7.4550000000,0.0000000000,3.3260000000,0.0001000000,65.5700000000,0.0000000000,CONDITIONALLY ACCEPTED
FP510,TH,X13,1.4470000000,0.7720000000,0.9210000000,0.3830000000,0.9340000000,0.5560000000,0.5460000000,0.8770000000,0.5010000000,0.8490000000,0.6860000000,0.7700000000,,14.6630000000,0.0000000000,18.3050000000,0.0000000000,1.3050000000,0.2104000000,98.3760000000,0.0000000000,ACCEPTED
FP607,TH,X13,0.8820000000,0.5330000000,0.5900000000,0.4960000000,0.7840000000,0.0920000000,0.4920000000,1.0120000000,0.5610000000,0.6130000000,0.5060000000,0.5900000000,,14.0690000000,0.0000000000,19.5280000000,0.0000000000,0.8190000000,0.6481000000,104.9230000000,0.0000000000,ACCEPTED
NP081,TH,X13,2.2970000000,0.1710000000,0.5950000000,0.3610000000,0.6080000000,0.2440000000,1.4050000000,1.6870000000,0.2870000000,2.2540000000,2.0460000000,1.0900000000,,5.3340000000,0.0000000000,7.6820000000,0.0000000000,7.7750000000,0.0000000000,65.2770000000,0.0000000000,CONDITIONALLY REJECTED
FP511,TH,X13,1.7620000000,0.8160000000,1.0480000000,0.3610000000,0.8890000000,0.0910000000,0.9590000000,1.5220000000,0.5750000000,1.8210000000,1.5750000000,0.9800000000,,7.6660000000,0.0000000000,9.8750000000,0.0000000000,3.7190000000,0.0000000000,78.9390000000,0.0000000000,CONDITIONALLY ACCEPTED
FP512,TH,X13,1.4060000000,0.7220000000,1.0290000000,0.6540000000,0.8330000000,0.1410000000,0.6840000000,1.0290000000,0.4120000000,1.4930000000,1.4780000000,0.8400000000,,15.1480000000,0.0000000000,19.9690000000,0.0000000000,3.8920000000,0.0000000000,107.3720000000,0.0000000000,CONDITIONALLY ACCEPTED
TP129,TH,X13,1.8030000000,0.4090000000,0.4470000000,0.2930000000,0.5780000000,0.0680000000,1.1210000000,1.6760000000,0.9260000000,1.4940000000,1.3260000000,0.9200000000,,3.7990000000,0.0001000000,5.2490000000,0.0000000000,2.0600000000,0.0168000000,50.3280000000,0.0000000000,CONDITIONALLY ACCEPTED
FP014,REG_ISAN5,X13,0.4380000000,0.4180000000,0.4950000000,0.7030000000,0.5110000000,0.0830000000,0.5420000000,0.6930000000,0.5300000000,0.5450000000,0.5090000000,0.4900000000,,24.3760000000,0.0000000000,36.3660000000,0.0000000000,4.7880000000,0.0000000000,118.5710000000,0.0000000000,ACCEPTED
FP019,REG_ISAN5,X13,0.3450000000,0.3270000000,0.4290000000,1.0050000000,0.5650000000,0.4540000000,0.6340000000,0.7600000000,0.5800000000,0.6820000000,0.6680000000,0.5900000000,,23.6470000000,0.0000000000,31.8620000000,0.0000000000,6.1970000000,0.0000000000,111.6850000000,0.0000000000,ACCEPTED
FP038,REG_ISAN5,X13,2.1530000000,1.7270000000,0.3720000000,1.9840000000,3.0000000000,0.2810000000,1.5430000000,1.5920000000,1.2600000000,0.9640000000,0.8710000000,1.4800000000,,1.3150000000,0.2236000000,2.2320000000,0.0159000000,1.2080000000,0.2886000000,37.0450000000,0.0001000000,REJECTED
FU014,REG_ISAN5,X13,2.3830000000,0.9050000000,0.5190000000,1.3810000000,0.8680000000,0.4130000000,2.3300000000,2.0440000000,0.4710000000,2.1230000000,2.0290000000,1.4600000000,,1.7960000000,0.0611000000,2.6650000000,0.0039000000,7.3160000000,0.0000000000,45.1460000000,0.0000000000,REJECTED
FU015,REG_ISAN5,X13,3.0000000000,3.0000000000,2.4550000000,0.2010000000,3.0000000000,0.5310000000,2.5430000000,2.1980000000,0.9690000000,3.0000000000,2.4940000000,2.0700000000,,1.9130000000,0.0434000000,1.7780000000,0.0633000000,6.1620000000,0.0000000000,15.5090000000,0.1604000000,REJECTED
FU018,REG_ISAN5,X13,1.6740000000,0.2490000000,0.3320000000,0.7030000000,0.7270000000,0.0930000000,2.4300000000,2.1930000000,0.4640000000,2.7790000000,2.7130000000,1.3400000000,,1.5640000000,0.1172000000,2.4950000000,0.0068000000,10.2160000000,0.0000000000,30.4940000000,0.0013000000,REJECTED
TU068,REG_ISAN5,X13,3.0000000000,1.9970000000,1.4960000000,0.1760000000,3.0000000000,0.6080000000,1.5090000000,1.8790000000,0.8970000000,2.5690000000,2.3460000000,1.7000000000,,2.8540000000,0.0023000000,3.0120000000,0.0012000000,2.2390000000,0.0164000000,32.0100000000,0.0008000000,REJECTED
FP109,REG_ISAN5,X13,2.0720000000,1.3470000000,1.1240000000,0.5780000000,3.0000000000,0.3470000000,1.0350000000,1.1970000000,0.9260000000,0.9930000000,0.9540000000,1.2800000000,,6.0310000000,0.0000000000,7.4530000000,0.0000000000,2.9900000000,0.0015000000,69.1720000000,0.0000000000,REJECTED
FP118,REG_ISAN5,X13,2.0560000000,1.5110000000,1.0280000000,0.0500000000,1.1630000000,0.4450000000,1.0280000000,1.3330000000,0.6820000000,1.4800000000,1.4130000000,1.0400000000,,6.2190000000,0.0000000000,6.9480000000,0.0000000000,2.5620000000,0.0059000000,62.5280000000,0.0000000000,CONDITIONALLY REJECTED
FP301,REG_ISAN5,X13,3.0000000000,0.5210000000,0.5060000000,0.6280000000,0.6950000000,0.3430000000,2.5130000000,1.7920000000,1.3840000000,1.0880000000,0.9070000000,1.4200000000,,1.5630000000,0.1175000000,1.9280000000,0.0406000000,7.2070000000,0.0000000000,27.5650000000,0.0038000000,REJECTED
FP306,REG_ISAN5,X13,3.0000000000,1.5140000000,0.3000000000,0.9290000000,3.0000000000,0.6230000000,2.9910000000,2.6170000000,0.8420000000,2.9260000000,2.5830000000,2.0200000000,,0.7040000000,0.7333000000,0.7880000000,0.6520000000,3.7060000000,0.0001000000,14.4950000000,0.2068000000,REJECTED
FP317,REG_ISAN5,X13,2.0500000000,1.3640000000,1.6580000000,0.2760000000,3.0000000000,0.2170000000,0.9770000000,1.2470000000,0.7910000000,1.5390000000,1.4870000000,1.3300000000,,4.2190000000,0.0000000000,4.2750000000,0.0000000000,0.3870000000,0.9589000000,40.1630000000,0.0000000000,REJECTED
FP321,REG_ISAN5,X13,2.6620000000,1.8580000000,0.4420000000,1.6830000000,3.0000000000,0.3760000000,1.6000000000,1.7110000000,1.2370000000,0.9420000000,0.8400000000,1.5500000000,,1.2260000000,0.2766000000,2.0990000000,0.0241000000,1.2490000000,0.2628000000,31.2920000000,0.0010000000,REJECTED
FP331,REG_ISAN5,X13,3.0000000000,1.6270000000,0.9310000000,0.7030000000,3.0000000000,0.0310000000,2.4720000000,1.7710000000,1.5650000000,1.3470000000,1.2890000000,1.7600000000,,1.4540000000,0.1570000000,2.1750000000,0.0190000000,8.4260000000,0.0000000000,25.2310000000,0.0084000000,REJECTED
FU064,REG_ISAN5,X13,2.4070000000,0.2150000000,0.3140000000,0.7790000000,0.7150000000,0.2590000000,2.3770000000,2.2990000000,0.5340000000,2.8240000000,2.7520000000,1.4500000000,,0.9640000000,0.4828000000,1.3340000000,0.2122000000,2.6910000000,0.0039000000,21.2370000000,0.0310000000,REJECTED
FU078,REG_ISAN5,X13,1.8740000000,0.1750000000,0.2670000000,0.3270000000,0.6550000000,0.1810000000,2.6530000000,2.2300000000,0.7040000000,2.5710000000,2.3610000000,1.3600000000,,0.7320000000,0.7058000000,1.0180000000,0.4341000000,2.4410000000,0.0087000000,21.9780000000,0.0245000000,REJECTED
FPF03,REG_ISAN5,X13,2.8650000000,1.5690000000,1.2140000000,0.2510000000,3.0000000000,0.3980000000,1.0310000000,1.3320000000,0.8100000000,1.4230000000,1.3590000000,1.4000000000,,6.4550000000,0.0000000000,7.0930000000,0.0000000000,2.6940000000,0.0039000000,66.9520000000,0.0000000000,REJECTED
TPF02,REG_ISAN5,X13,3.0000000000,3.0000000000,2.1950000000,0.1760000000,3.0000000000,0.7970000000,3.0000000000,1.5350000000,1.0660000000,1.5280000000,1.2100000000,2.1500000000,,0.6520000000,0.7808000000,0.6750000000,0.7601000000,3.4450000000,0.0003000000,9.1880000000,0.6045000000,REJECTED
